itemid,hotelid,hotelname,address,city,country,propertytype,starrating,roomamenities,roomtype,ratedescription,average_price
1,31,The Harmonie Vienna  BW Premier Collection,Harmoniegasse 5-7,Vienna,Austria,Hotels,4,Air conditioning ;Alarm clock ;Bathrobes ;Closet ;Coffeetea maker ;Daily newspaper ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Ironing facilities ;Laptop safe box ;Linens ;Mini bar ;Mirror ;On-demand movies ;Satellitecable channels ;Seating area ;Smoke detector ;Soundproofing ;Telephone ;Toiletries ;Towels ;Trouser press ;Wake-up service ;,Comfort Double Room,Room size 27 m_square291 ft_square City view Non-smoking Shower 1 double bed,132.49
2,31,The Harmonie Vienna  BW Premier Collection,Harmoniegasse 5-7,Vienna,Austria,Hotels,4,Air conditioning ;Alarm clock ;Bathrobes ;Closet ;Coffeetea maker ;Daily newspaper ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Ironing facilities ;Laptop safe box ;Linens ;Mini bar ;Mirror ;Satellitecable channels ;Seating area ;Smoke detector ;Soundproofing ;Telephone ;Toiletries ;Towels ;Trouser press ;Wake-up service ;,Classic Double or Twin Room,Room size 20 m_square215 ft_square City view Non-smoking Shower and bathtub 2 single beds or 1 double bed,132.49
3,31,The Harmonie Vienna  BW Premier Collection,Harmoniegasse 5-7,Vienna,Austria,Hotels,4,Air conditioning ;Alarm clock ;Bathrobes ;Closet ;Coffeetea maker ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Ironing facilities ;Laptop safe box ;Linens ;Mini bar ;Mirror ;On-demand movies ;Satellitecable channels ;Seating area ;Shower ;Smoke detector ;Sofa ;Soundproofing ;Telephone ;Toiletries ;Towels ;Trouser press ;Wake-up service ;,Superior Double Room,Room size 33 m_square355 ft_square City view Non-smoking Bathtub 1 double bed,132.49
4,31,The Harmonie Vienna  BW Premier Collection,Harmoniegasse 5-7,Vienna,Austria,Hotels,4,Air conditioning ;Bathrobes ;Blackout curtains ;Closet ;Coffeetea maker ;Daily housekeeping ;Dart board ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Ironing facilities ;Laptop safe box ;Linens ;Mini bar ;Mirror ;Satellitecable channels ;Seating area ;Shower ;Slippers ;Smoke detector ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Suite,Room size 35 m_square377 ft_square Bathtub 1 double bed,132.49
5,31,The Harmonie Vienna  BW Premier Collection,Harmoniegasse 5-7,Vienna,Austria,Hotels,4,Air conditioning ;Blackout curtains ;Coffeetea maker ;Daily housekeeping ;Dart board ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;In-room safe box ;Mini bar ;Satellitecable channels ;Shower ;Slippers ;Toiletries ;,Classic Double or Twin Room,Free Breakfast Pay nothing until November 8 2019 Free Wi-Fi Free cancellation before November 10 2019,132.49
6,31,The Harmonie Vienna  BW Premier Collection,Harmoniegasse 5-7,Vienna,Austria,Hotels,4,Air conditioning ;Blackout curtains ;Coffeetea maker ;Daily housekeeping ;Dart board ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;In-room safe box ;Mini bar ;Satellitecable channels ;Shower ;Slippers ;Toiletries ;,Comfort Room,Free Breakfast Pay nothing until November 8 2019 Free Wi-Fi Free cancellation before November 10 2019,132.49
7,31,The Harmonie Vienna  BW Premier Collection,Harmoniegasse 5-7,Vienna,Austria,Hotels,4,Air conditioning ;Blackout curtains ;Coffeetea maker ;Daily housekeeping ;Dart board ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;In-room safe box ;Mini bar ;Satellitecable channels ;Shower ;Slippers ;Toiletries ;,Run of House,Free Breakfast Free Wi-Fi Cancellation policy,132.49
8,31,The Harmonie Vienna  BW Premier Collection,Harmoniegasse 5-7,Vienna,Austria,Hotels,4,Air conditioning ;Blackout curtains ;Coffeetea maker ;Daily housekeeping ;Dart board ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;In-room safe box ;Mini bar ;Satellitecable channels ;Shower ;Slippers ;Toiletries ;,Suite-1 Double Bed Living Room,Free Breakfast Pay nothing until November 8 2019 Free Wi-Fi Free cancellation before November 10 2019,132.49
9,31,The Harmonie Vienna  BW Premier Collection,Harmoniegasse 5-7,Vienna,Austria,Hotels,4,Air conditioning ;Blackout curtains ;Coffeetea maker ;Daily housekeeping ;Dart board ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;In-room safe box ;Mini bar ;Satellitecable channels ;Shower ;Slippers ;Toiletries ;,Superior Room,Free Breakfast Pay nothing until November 8 2019 Free Wi-Fi Free cancellation before November 10 2019,132.49
10,31,The Harmonie Vienna  BW Premier Collection,Harmoniegasse 5-7,Vienna,Austria,Hotels,4,Air conditioning ;Free Wi-Fi in all rooms ;In-room safe box ;Shower ;TV ;,Double Non Smoking,Free Breakfast Pay nothing until December 8 2019 Free Wi-Fi Free cancellation before December 10 2019,132.49
11,1429,Hotel Villa Carlton,Markus-Sittikus-Strasse 3,Salzburg,Austria,Hotels,4,Air conditioning ;Blackout curtains ;Closet ;Daily housekeeping ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;iPod docking station ;Satellitecable channels ;Telephone ;Toiletries ;Wake-up service ;Woodenparqueted flooring ;,Superior Double Room,Room size 33 m_square355 ft_square Shower 1 double bed or 2 single beds,245.575
12,1429,Hotel Villa Carlton,Markus-Sittikus-Strasse 3,Salzburg,Austria,Hotels,4,Air conditioning ;Blackout curtains ;Daily housekeeping ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;In-room safe box ;Satellitecable channels ;Shower ;Toiletries ;,Run of House,Free Breakfast Pay nothing until October 14 2019 Free Wi-Fi Free cancellation before October 16 2019,245.575
13,1429,Hotel Villa Carlton,Markus-Sittikus-Strasse 3,Salzburg,Austria,Hotels,4,Air conditioning ;Closet ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;iPod docking station ;Satellitecable channels ;Shower ;Telephone ;Toiletries ;Wake-up service ;Woodenparqueted flooring ;,Suite with Balcony,Room size 35 m_square377 ft_square Balconyterrace 1 double bed,245.575
14,1429,Hotel Villa Carlton,Markus-Sittikus-Strasse 3,Salzburg,Austria,Hotels,4,Air conditioning ;Closet ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;iPod docking station ;Satellitecable channels ;Telephone ;Toiletries ;Wake-up service ;Woodenparqueted flooring ;,Premium Double Room,Room size 26 m_square280 ft_square Shower 2 single beds or 1 double bed,245.575
15,1429,Hotel Villa Carlton,Markus-Sittikus-Strasse 3,Salzburg,Austria,Hotels,4,Air conditioning ;Closet ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Satellitecable channels ;Shower ;Telephone ;Toiletries ;Wake-up service ;Woodenparqueted flooring ;,Comfort Double Room,Room size 22 m_square237 ft_square 2 single beds or 1 double bed,245.575
16,1429,Hotel Villa Carlton,Markus-Sittikus-Strasse 3,Salzburg,Austria,Hotels,4,Air conditioning ;Free Wi-Fi in all rooms ;In-room safe box ;Shower ;TV ;,Double Or Twin Standard,Free Breakfast Pay nothing until November 29 2019 Free Wi-Fi Free cancellation before December 1 2019,245.575
17,1429,Hotel Villa Carlton,Markus-Sittikus-Strasse 3,Salzburg,Austria,Hotels,4,Air conditioning ;Free Wi-Fi in all rooms ;In-room safe box ;Shower ;TV ;,Double Single Use Standard,Free Breakfast Pay nothing until November 29 2019 Free Wi-Fi Free cancellation before December 1 2019,245.575
18,1520,Hotel IMLAUER & Brau,Rainerstrasse 12-14,Salzburg,Austria,Hotels,4,Air conditioning ;Blackout curtains ;Closet ;Coffeetea maker ;Daily housekeeping ;Dart board ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Mini bar ;Satellitecable channels ;Smoke detector ;Soundproofing ;Telephone ;Toiletries ;Wake-up service ;,Superior Double Room,Room size 20 m_square215 ft_square Separate showerbathtub 2 single beds,204.585
19,1520,Hotel IMLAUER & Brau,Rainerstrasse 12-14,Salzburg,Austria,Hotels,4,Air conditioning ;Blackout curtains ;Coffeetea maker ;Daily housekeeping ;Dart board ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;In-room safe box ;Mini bar ;Satellitecable channels ;Soundproofing ;Telephone ;Toiletries ;,Family Room,Separate showerbathtub,204.585
20,1520,Hotel IMLAUER & Brau,Rainerstrasse 12-14,Salzburg,Austria,Hotels,4,Air conditioning ;Closet ;Coffeetea maker ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Mini bar ;Shower ;Smoke detector ;Sofa ;Soundproofing ;Telephone ;Toiletries ;TV [flat screen] ;Wake-up service ;,Family Room 2 Adults + 2 Children,Room size 28 m_square301 ft_square Bathtub 3 single beds,204.585
21,2243,Austria Trend Hotel Europa Graz,89 Bahnhofguertel,Graz,Austria,Hotels,4,Air conditioning ;Bathrobes ;Blackout curtains ;Carpeting ;Closet ;Coffeetea maker ;Daily housekeeping ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Mini bar ;Mirror ;Satellitecable channels ;Seating area ;Slippers ;Smoke detector ;Sofa ;Soundproofing ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Executive Room,Room size 23 m_square248 ft_square Street view Non-smoking Separate showerbathtub 1 double bed or 2 single beds,123.955
22,2243,Austria Trend Hotel Europa Graz,89 Bahnhofguertel,Graz,Austria,Hotels,4,Air conditioning ;Blackout curtains ;Carpeting ;Closet ;Daily housekeeping ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Mini bar ;Satellitecable channels ;Smoke detector ;Soundproofing ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Comfort Room,Room size 23 m_square248 ft_square Street view Non-smoking Separate showerbathtub 2 single beds,123.955
23,2243,Austria Trend Hotel Europa Graz,89 Bahnhofguertel,Graz,Austria,Hotels,4,Air conditioning ;Blackout curtains ;Daily housekeeping ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;In-room safe box ;Mini bar ;Satellitecable channels ;,Run of House,Separate showerbathtub,123.955
24,2243,Austria Trend Hotel Europa Graz,89 Bahnhofguertel,Graz,Austria,Hotels,4,Air conditioning ;Carpeting ;Closet ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Mini bar ;Satellitecable channels ;Smoke detector ;Sofa ;Soundproofing ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Comfort Triple Room,Room size 25 m_square269 ft_square Shower and bathtub 1 queen bed and 1 sofa bed,123.955
25,2243,Austria Trend Hotel Europa Graz,89 Bahnhofguertel,Graz,Austria,Hotels,4,Air conditioning ;Free Wi-Fi in all rooms ;In-room safe box ;Shower ;Telephone ;TV ;,Business Single,Free Wi-Fi Extra low price non-refundable,123.955
26,2243,Austria Trend Hotel Europa Graz,89 Bahnhofguertel,Graz,Austria,Hotels,4,Air conditioning ;Free Wi-Fi in all rooms ;In-room safe box ;Shower ;Telephone ;TV ;,Double,Free Wi-Fi Cancellation policy,123.955
27,2243,Austria Trend Hotel Europa Graz,89 Bahnhofguertel,Graz,Austria,Hotels,4,Air conditioning ;Free Wi-Fi in all rooms ;In-room safe box ;Shower ;Telephone ;TV ;,Single,Free Wi-Fi Cancellation policy,123.955
28,2243,Austria Trend Hotel Europa Graz,89 Bahnhofguertel,Graz,Austria,Hotels,4,Air conditioning ;Free Wi-Fi in all rooms ;In-room safe box ;Shower ;Telephone ;TV ;,Single Comfort,Free Wi-Fi Extra low price non-refundable,123.955
29,2243,Austria Trend Hotel Europa Graz,89 Bahnhofguertel,Graz,Austria,Hotels,4,Air conditioning ;Free Wi-Fi in all rooms ;In-room safe box ;Shower ;Telephone ;TV ;,SINGLE EXECUTIVE SUPERIOR - ROOM ONLY,Free Wi-Fi Cancellation policy,123.955
30,2243,Austria Trend Hotel Europa Graz,89 Bahnhofguertel,Graz,Austria,Hotels,4,Air conditioning ;Free Wi-Fi in all rooms ;In-room safe box ;Shower ;Telephone ;TV ;,Single room - Executive,Free Wi-Fi Extra low price non-refundable,123.955
31,2243,Austria Trend Hotel Europa Graz,89 Bahnhofguertel,Graz,Austria,Hotels,4,Air conditioning ;Free Wi-Fi in all rooms ;In-room safe box ;Shower ;Telephone ;TV ;,Triple,Free Wi-Fi Cancellation policy,123.955
32,2243,Austria Trend Hotel Europa Graz,89 Bahnhofguertel,Graz,Austria,Hotels,4,Air conditioning ;Free Wi-Fi in all rooms ;In-room safe box ;Shower ;TV ;,Double single use,Free Wi-Fi Extra low price non-refundable,123.955
33,2243,Austria Trend Hotel Europa Graz,89 Bahnhofguertel,Graz,Austria,Hotels,4,Air conditioning ;Free Wi-Fi in all rooms ;In-room safe box ;Shower ;TV ;,Executive Superior Room,Free Wi-Fi Extra low price non-refundable,123.955
34,2243,Austria Trend Hotel Europa Graz,89 Bahnhofguertel,Graz,Austria,Hotels,4,Air conditioning ;Free Wi-Fi in all rooms ;In-room safe box ;Shower ;TV ;,Room,Free Wi-Fi Extra low price non-refundable,123.955
35,3321,Altstadt Hotel Hofwirt Salzburg,Schallmooser Hauptstrasse 1,Salzburg,Austria,Hotels,3,Air conditioning ;Daily housekeeping ;Dart board ;Desk ;Fan ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Satellitecable channels ;Telephone ;Towels ;Woodenparqueted flooring ;,Double Room,Room size 17 m_square183 ft_square Street view Non-smoking Shower 1 double bed,91.575
36,3321,Altstadt Hotel Hofwirt Salzburg,Schallmooser Hauptstrasse 1,Salzburg,Austria,Hotels,3,Air conditioning ;Daily housekeeping ;Dart board ;Desk ;Fan ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Satellitecable channels ;Telephone ;Towels ;Woodenparqueted flooring ;,Double Room Garden View,Room size 17 m_square183 ft_square Garden view Non-smoking Shower 1 double bed,91.575
37,3321,Altstadt Hotel Hofwirt Salzburg,Schallmooser Hauptstrasse 1,Salzburg,Austria,Hotels,3,Air conditioning ;Daily housekeeping ;Dart board ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;In-room safe box ;Satellitecable channels ;Telephone ;,Standard Single Room,Room size 10 m_square108 ft_square Shower 1 single bed,91.575
38,3698,Hotel Alpha Wien,Buchfeldgasse 8,Vienna,Austria,Hotels,3,Air conditioning ;Alarm clock ;Cleaning products ;Closet ;Clothes rack ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Ironing facilities ;Mini bar ;On-demand movies ;Satellitecable channels ;Seating area ;Telephone ;Toiletries ;Wake-up service ;,Single Room,Room size 14 m_square151 ft_square Non-smoking Shower and bathtub 1 single bed,86.395
39,3698,Hotel Alpha Wien,Buchfeldgasse 8,Vienna,Austria,Hotels,3,Air conditioning ;Cleaning products ;Closet ;Clothes rack ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Ironing facilities ;Mini bar ;Satellitecable channels ;Seating area ;Telephone ;Toiletries ;Wake-up service ;,Double Room,Room size 20 m_square215 ft_square Shower and bathtub 1 double bed,86.395
40,5211,Mercure Wien Zentrum Hotel,Fleischmarkt 1a,Vienna,Austria,Hotels,3,Air conditioning ;Alarm clock ;Bathrobes ;Carpeting ;Closet ;Clothes rack ;Coffeetea maker ;Daily housekeeping ;Daily newspaper ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Ironing facilities ;Laptop safe box ;Linens ;Mini bar ;Mirror ;On-demand movies ;Refrigerator ;Satellitecable channels ;Seating area ;Slippers ;Smoke detector ;Telephone ;Toiletries ;Towels ;Video game console ;Wake-up service ;,Privilege Room,Room size 20 m_square215 ft_square Street view Non-smoking Separate showerbathtub 1 king bed,214.965
41,5211,Mercure Wien Zentrum Hotel,Fleischmarkt 1a,Vienna,Austria,Hotels,3,Air conditioning ;Alarm clock ;Bathrobes ;Carpeting ;Closet ;Clothes rack ;Coffeetea maker ;Daily housekeeping ;Daily newspaper ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Ironing facilities ;Laptop safe box ;Linens ;Mini bar ;Mirror ;On-demand movies ;Refrigerator ;Satellitecable channels ;Seating area ;Smoke detector ;Telephone ;Toiletries ;Towels ;Video game console ;Wake-up service ;,Standard Double Room,Room size 20 m_square215 ft_square Street view Non-smoking Separate showerbathtub 1 queen bed,214.965
42,7181,Daniel Graz,Europaplatz 1,Graz,Austria,Hotels,4,Air conditioning ;Daily housekeeping ;Free Wi-Fi in all rooms ;Hair dryer ;In-room safe box ;Linens ;Mirror ;Satellitecable channels ;Seating area ;Soundproofing ;Telephone ;Towels ;,Smart Room,Room size 24 m_square258 ft_square City view Balconyterrace Non-smoking Shower 1 double bed,265.925
43,7181,Daniel Graz,Europaplatz 1,Graz,Austria,Hotels,4,Air conditioning ;Free Wi-Fi in all rooms ;In-room safe box ;Linens ;Shower ;Towels ;TV ;,Loft Cube Suite,Room size 44 m_square474 ft_square Balconyterrace 1 king bed,265.925
44,7453,Altstadthotel Kasererbraeu,Kaigasse 33,Salzburg,Austria,Hotels,4,Air conditioning ;Closet ;Coffeetea maker ;Desk ;Fan ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Mini bar ;Satellitecable channels ;Seating area ;Sewing kit ;Shoeshine kit ;Smoke detector ;Sofa ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Suite,Room size 45 m_square484 ft_square Balconyterrace Non-smoking Shower and bathtub 1 queen bed & 1 sofa bed,107.04
45,7453,Altstadthotel Kasererbraeu,Kaigasse 33,Salzburg,Austria,Hotels,4,Air conditioning ;Closet ;Desk ;Fan ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Mini bar ;Satellitecable channels ;Sewing kit ;Shoeshine kit ;Smoke detector ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Deluxe Double Room,Room size 24 m_square258 ft_square Non-smoking Shower and bathtub 1 queen bed,107.04
46,7453,Altstadthotel Kasererbraeu,Kaigasse 33,Salzburg,Austria,Hotels,4,Air conditioning ;Closet ;Desk ;Fan ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Mini bar ;Satellitecable channels ;Sewing kit ;Shoeshine kit ;Smoke detector ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Superior Double Room,Room size 22 m_square237 ft_square Non-smoking Shower and bathtub 1 queen bed,107.04
47,7453,Altstadthotel Kasererbraeu,Kaigasse 33,Salzburg,Austria,Hotels,4,Air conditioning ;Closet ;Desk ;Fan ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Satellitecable channels ;Sewing kit ;Shoeshine kit ;Smoke detector ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Single Room,Room size 16 m_square172 ft_square Non-smoking Shower 1 single bed,107.04
48,8306,Novum Hotel Prinz Eugen Wien,Wiedner Guertel 14,Vienna,Austria,Hotels,4,Air conditioning ;Alarm clock ;Blackout curtains ;Coffeetea maker ;Daily housekeeping ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Mini bar ;Refrigerator ;Satellitecable channels ;Seating area ;Soundproofing ;Telephone ;Toiletries ;Trouser press ;Wake-up service ;,Triple Room,Room size 23 m_square248 ft_square Street view Balconyterrace Separate showerbathtub 1 single bed and 1 double bed or 3 single beds,126.28
49,8306,Novum Hotel Prinz Eugen Wien,Wiedner Guertel 14,Vienna,Austria,Hotels,4,Air conditioning ;Alarm clock ;Blackout curtains ;Coffeetea maker ;Daily housekeeping ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Mini bar ;Refrigerator ;Satellitecable channels ;Seating area ;Soundproofing ;Telephone ;Toiletries ;Wake-up service ;,Superior Double Room,Room size 26 m_square280 ft_square Street view Non-smoking Shower 1 double bed or 2 single beds,126.28
50,8306,Novum Hotel Prinz Eugen Wien,Wiedner Guertel 14,Vienna,Austria,Hotels,4,Air conditioning ;Alarm clock ;Blackout curtains ;Coffeetea maker ;Daily housekeeping ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Mini bar ;Satellitecable channels ;Seating area ;Soundproofing ;Telephone ;Toiletries ;,Comfort Double Room,Room size 20 m_square215 ft_square Street view Non-smoking Shower and bathtub 1 double bed or 2 single beds,126.28
51,8306,Novum Hotel Prinz Eugen Wien,Wiedner Guertel 14,Vienna,Austria,Hotels,4,Air conditioning ;Alarm clock ;Blackout curtains ;Coffeetea maker ;Daily housekeeping ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Mini bar ;Satellitecable channels ;Seating area ;Soundproofing ;Telephone ;Toiletries ;,Comfort Single,Room size 15 m_square161 ft_square Street view Non-smoking Shower and bathtub 1 single bed,126.28
52,8306,Novum Hotel Prinz Eugen Wien,Wiedner Guertel 14,Vienna,Austria,Hotels,4,Air conditioning ;Alarm clock ;Blackout curtains ;Daily housekeeping ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Mini bar ;Refrigerator ;Satellitecable channels ;Seating area ;Soundproofing ;Telephone ;Toiletries ;Trouser press ;Wake-up service ;,Double Room,Room size 20 m_square215 ft_square Street view Non-smoking Separate showerbathtub 1 double bed or 2 single beds,126.28
53,8306,Novum Hotel Prinz Eugen Wien,Wiedner Guertel 14,Vienna,Austria,Hotels,4,Air conditioning ;Alarm clock ;Blackout curtains ;Daily housekeeping ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Mini bar ;Refrigerator ;Satellitecable channels ;Seating area ;Telephone ;Toiletries ;Trouser press ;Wake-up service ;,Single Room,Room size 12 m_square129 ft_square Street view Non-smoking Shower 1 single bed,126.28
54,8306,Novum Hotel Prinz Eugen Wien,Wiedner Guertel 14,Vienna,Austria,Hotels,4,Air conditioning ;Daily housekeeping ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;In-room safe box ;Satellitecable channels ;Shower ;Telephone ;Toiletries ;,Run of House,Free Breakfast for 1 Pay nothing until November 15 2019 Free Wi-Fi Free cancellation before November 17 2019,126.28
55,8306,Novum Hotel Prinz Eugen Wien,Wiedner Guertel 14,Vienna,Austria,Hotels,4,Air conditioning ;Free Wi-Fi in all rooms ;In-room safe box ;Shower ;TV ;,Double room sole use,Free Breakfast Pay nothing until November 17 2019 Free Wi-Fi Free cancellation before November 19 2019,126.28
56,8306,Novum Hotel Prinz Eugen Wien,Wiedner Guertel 14,Vienna,Austria,Hotels,4,Air conditioning ;Free Wi-Fi in all rooms ;In-room safe box ;Shower ;TV ;,Twin room sole use,Free Breakfast Pay nothing until November 17 2019 Free Wi-Fi Free cancellation before November 19 2019,126.28
57,48822,Ibis Styles Linz,Wankmullerhofstr 37,Linz,Austria,Hotels,3,Air conditioning ;Bathrobes ;Blackout curtains ;Closet ;Clothes rack ;Coffeetea maker ;Daily housekeeping ;Desk ;Fan ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;High chair ;In-room safe box ;iPod docking station ;Ironing facilities ;Kitchenware ;Linens ;Mirror ;Satellitecable channels ;Seating area ;Separate dining area ;Smoke detector ;Sofa ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Family,Room size 25 m_square269 ft_square Balconyterrace Separate showerbathtub 1 double bed,114.025
58,48822,Ibis Styles Linz,Wankmullerhofstr 37,Linz,Austria,Hotels,3,Air conditioning ;Bathrobes ;Blackout curtains ;Closet ;Clothes rack ;Coffeetea maker ;Desk ;Fan ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;High chair ;In-room safe box ;Ironing facilities ;Kitchenware ;Linens ;Mirror ;Satellitecable channels ;Seating area ;Separate dining area ;Smoke detector ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Twin,Room size 25 m_square269 ft_square Balconyterrace Shower and bathtub 2 single beds,114.025
59,48822,Ibis Styles Linz,Wankmullerhofstr 37,Linz,Austria,Hotels,3,Air conditioning ;Bathrobes ;Closet ;Clothes rack ;Coffeetea maker ;Desk ;Fan ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;High chair ;In-room safe box ;Ironing facilities ;Kitchenware ;Linens ;Mirror ;Satellitecable channels ;Seating area ;Separate dining area ;Smoke detector ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Standard Double Room,Room size 25 m_square269 ft_square Balconyterrace Shower and bathtub 1 queen bed,114.025
60,48822,Ibis Styles Linz,Wankmullerhofstr 37,Linz,Austria,Hotels,3,Air conditioning ;Bathrobes ;Closet ;Clothes rack ;Coffeetea maker ;Desk ;Fan ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;High chair ;In-room safe box ;Ironing facilities ;Kitchenware ;Linens ;Mirror ;Satellitecable channels ;Seating area ;Separate dining area ;Smoke detector ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Superior Double Room with Sofa,Room size 25 m_square269 ft_square Balconyterrace Shower and bathtub 1 double bed and 1 sofa bed,114.025
61,48822,Ibis Styles Linz,Wankmullerhofstr 37,Linz,Austria,Hotels,3,Air conditioning ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;In-room safe box ;Satellitecable channels ;Shower ;,King Room - Non-Smoking,Room size 25 m_square269 ft_square Bathtub 1 king bed,114.025
62,48822,Ibis Styles Linz,Wankmullerhofstr 37,Linz,Austria,Hotels,3,Air conditioning ;Free Wi-Fi in all rooms ;In-room safe box ;Shower ;TV ;,Standard Triple,Room size 25 m_square269 ft_square 1 double bed and 1 sofa bed,114.025
63,63490,Falkensteiner Hotel Wien Zentrum Schottenfeld,Schottenfeldgasse 74,Vienna,Austria,Hotels,4,Air conditioning ;Clothes rack ;Coffeetea maker ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Mini bar ;Private entrance ;Satellitecable channels ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Junior Suite,Room size 31 m_square334 ft_square Shower 1 queen bed,177.885
64,63490,Falkensteiner Hotel Wien Zentrum Schottenfeld,Schottenfeldgasse 74,Vienna,Austria,Hotels,4,Air conditioning ;Clothes rack ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Private entrance ;Satellitecable channels ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Large Double Room,Room size 25 m_square269 ft_square Shower 1 queen bed,177.885
65,63490,Falkensteiner Hotel Wien Zentrum Schottenfeld,Schottenfeldgasse 74,Vienna,Austria,Hotels,4,Air conditioning ;Free Wi-Fi in all rooms ;In-room safe box ;Shower ;TV ;,Standard Double,Free Breakfast Free Wi-Fi Extra low price non-refundable,177.885
66,70123,Hotel Haydn,Mariahilfer Strasse 57-59,Vienna,Austria,Hotels,3,Air conditioning ;Closet ;Clothes rack ;Daily housekeeping ;Desk ;DVDCD player ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Ironing facilities ;Linens ;Mini bar ;Private entrance ;Refrigerator ;Satellitecable channels ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Double Room,Room size 16 m_square172 ft_square Non-smoking Shower 2 single beds or 1 double bed,92.935
